drzava,overall,koef
Albania,65.925,1383
Algeria,70.6333,1343
Argentina,68.572,1575
Australia,62.6525,1431
Austria,64.9161,1499
Belgium,68.8115,1729
Bolivia,65.6667,1378
Bosnia-Herzegovina,68.6393,1468
Bulgaria,64.875,1430
Cameroon,67.9889,1408
Canada,62.9375,1307
Chile,64.9923,1568
China PR,59.9107,1313
Colombia,65.5761,1567
Congo,63.92,1289
Costa Rica,68.8667,1460
Croatia,69.5635,1634
Czech Republic,69.51,1418
Congo,69.2115,1289
Denmark,63.7173,1581
Ecuador,68.7907,1378
Egypt,70.2258,1364
England,63.4296,1612
Finland,64.0299,1378
France,67.7987,1729
Georgia,68.3462,1254
Germany,66.0868,1568
Ghana,67.0439,1407
Greece,69.0686,1433
Guinea,68.129,1353
Hungary,69.2368,1409
Iceland,66.8936,1461
India,58.6667,1248
Italy,68.1581,1526
Cote d'Ivoire,69.39,1351
Jamaica,66.625,1401
Japan,62.6213,1398
Korea Republic,64.1821,1395
Kosovo,66.0303,1092
Mali,68.9767,1365
Mexico,65.418,1550
Morocco,69.9412,1425
Netherlands,67.6534,1540
New Zealand,62.6136,1157
Nigeria,67.1488,1415
Northern Ireland,63.4875,1487
Norway,63.1613,1405
Paraguay,69.6118,1477
Peru,70.2162,1525
Poland,63.2286,1537
Portugal,71.3447,1606
Republic of Ireland,60.8859,1478
Romania,69.1667,1489
Russia,70.0633,1423
Saudi Arabia,60.7676,1337
Scotland,63.979,1448
Senegal,68.6154,1492
Serbia,69.9286,1463
Slovakia,68.4074,1491
Slovenia,69.5273,1376
South Africa,67.4789,1325
Spain,69.6987,1597
Sweden,63.6222,1550
Switzerland,65.4773,1598
Tunisia,68.25,1503
Turkey,66.0726,1456
Ukraine,70.4247,1483
USA,65.1728,1510
Uruguay,70.4295,1632
Venezuela,67.2687,1476
Wales,64.1395,1536
